State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3,04130	3,20423	2,60683	2,82406	2,71545	2,66114	2,66114	2,82406	2,33528	2,06374	2,06374	2,06374	2,28097	2,38959	1,79219	2,06374	1,79219	2,22667	2,33528	2,22667	2,22667
2	4,03768	3,83168	4,07888	4,16128	3,83168	3,74928	3,46087	3,21366	3,33727	3,46087	3,46087	3,50207	3,87288	3,74928	4,24369	4,28489	4,32609	3,99648	3,62567	3,74928	4,07888
3	1,00077	1,04626	1,00077	0,90979	1,18272	1,04626	1,18272	1,63762	1,77409	1,68311	1,68311	1,68311	1,50115	1,54664	1,54664	1,77409	1,72860	1,63762	1,59213	1,45566	1,04626
4	0,99464	0,82534	0,97347	0,88882	1,07929	0,97347	1,18510	1,18510	1,26975	1,26975	1,35440	1,50254	1,48137	1,35440	1,22742	1,26975	1,41789	1,35440	1,52370	1,48137	1,58719
5	3,05034	3,05034	3,43163	3,12660	3,27912	3,58415	4,27048	3,96544	4,04170	3,81293	3,50789	3,58415	3,20286	2,97408	3,12660	2,97408	2,51653	2,28776	1,98272	2,28776	2,66905
6	3,01508	2,99242	2,90929	2,96219	2,97730	2,96219	2,83373	2,76572	2,71282	2,73549	2,75816	2,70526	2,69771	2,58436	2,48612	2,38033	2,33499	2,32743	2,32743	2,21408	2,18386
7	0,00000	0,31231	0,31231	0,00000	0,00000	0,00000	0,31231	0,62462	0,31231	0,31231	0,00000	0,62462	0,00000	0,31231	0,31231	0,93692	0,00000	0,00000	0,00000	0,31231	0,00000
8	1,97784	2,14266	1,89543	1,56579	1,40097	1,73061	1,73061	1,81302	1,89543	1,73061	1,64820	1,73061	1,89543	1,73061	1,97784	1,73061	2,38989	2,80195	2,38989	2,47230	1,81302
9	0,66936	0,67338	0,67980	0,68140	0,67739	0,68060	0,67980	0,68060	0,68220	0,68622	0,68301	0,68782	0,68461	0,69986	0,71110	0,71672	0,72474	0,72554	0,72795	0,73518	0,74400
10	0,99188	1,01622	1,01622	1,01622	1,00405	1,01014	1,02231	1,04056	1,05882	1,06490	1,08316	1,01622	1,02839	1,06490	1,05882	1,04056	1,01014	1,02839	1,06490	1,08924	1,04665
