State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4,99670	5,70378	7,11794	8,90921	8,15499	9,28632	9,80485	10,32337	11,26614	14,04733	14,84868	11,07759	10,04054	9,89912	10,13482	11,83181	14,56585	14,75441	14,28302	12,96314	12,11464
2	4,75624	5,43571	6,32974	7,90323	10,72837	12,98132	16,30712	19,70443	22,92294	22,42228	22,56533	26,24873	26,35602	25,56927	23,92425	20,59846	16,91506	13,87535	11,44359	9,76281	8,22508
3	2,52695	2,64540	2,72436	2,52695	2,68488	2,40850	2,48746	2,29005	1,73728	1,61883	1,77676	1,22399	1,02657	0,98709	1,22399	1,42141	1,73728	2,01366	2,05314	1,93469	1,85573
4	2,13074	2,29606	2,31443	1,96543	2,05727	2,18585	1,83685	1,54295	1,13885	1,30416	1,21232	1,06537	1,10211	1,12048	1,06537	1,30416	1,34090	1,72664	1,76337	2,13074	2,42464
5	2,44904	2,25047	2,11809	1,78714	1,19143	1,05905	0,99286	0,99286	0,72809	0,66190	0,52952	0,59571	0,66190	0,86047	0,92666	0,86047	0,79428	0,99286	2,05190	2,77999	3,50809
6	0,73460	0,61654	0,47224	0,44601	0,43945	0,40665	0,38698	0,33451	0,31483	0,32795	0,31483	0,32139	0,32795	0,32795	0,34106	0,37386	0,38698	0,43945	0,51816	0,66901	0,80675
7	0,81323	0,54215	0,27108	0,27108	0,54215	0,81323	0,27108	0,27108	0,27108	0,54215	0,27108	0,00000	0,00000	0,00000	0,00000	0,27108	0,27108	0,00000	0,27108	0,54215	0,27108
8	1,57366	2,00283	1,85978	2,14589	2,28895	1,50213	1,43060	1,57366	1,28754	1,78825	1,71672	1,71672	0,92989	1,07295	1,35907	1,07295	0,85836	1,28754	1,28754	1,57366	1,50213
9	0,70081	0,67573	0,65274	0,62348	0,58447	0,53571	0,48973	0,45211	0,42703	0,39778	0,39011	0,38872	0,39499	0,40335	0,41310	0,42843	0,44375	0,46187	0,49391	0,50506	0,51969
10	1,79580	1,82749	1,83805	1,77995	1,73242	1,73242	1,65847	1,52643	1,38382	1,28875	1,27290	1,27290	1,38910	1,43136	1,52115	1,60565	1,68488	1,74298	1,74298	1,75882	1,73770
