State (Emission order)	Genome %	CpGIsland.hg18.bed.gz	RefSeqExon.hg18.bed.gz	RefSeqGene.hg18.bed.gz	RefSeqTES.hg18.bed.gz	RefSeqTSS.hg18.bed.gz	RefSeqTSS2kb.hg18.bed.gz	laminB1lads.hg18.bed.gz
1	1,09407	20,73276	3,47851	1,49877	2,06374	14,84868	9,20859	0,30503
2	1,44215	26,85089	5,34363	1,62102	3,46087	22,56533	13,55219	0,17600
3	1,30619	0,47116	1,39309	1,41930	1,68311	1,77676	1,81559	0,34618
4	2,80769	0,61132	1,01263	1,23413	1,35440	1,21232	1,68709	0,42968
5	0,77916	0,29008	3,36408	1,96469	3,50789	0,52952	1,15943	0,24750
6	7,86302	0,33369	3,26207	2,05160	2,75816	0,31483	0,45652	0,18527
7	0,19025	0,00000	0,23116	0,23895	0,00000	0,27108	0,30921	1,18484
8	0,72100	2,15491	1,60006	0,97784	1,64820	1,71672	1,60546	0,66416
9	74,03211	0,20531	0,60841	0,84278	0,68301	0,39011	0,55635	1,18625
10	9,76436	1,70610	0,95399	1,01362	1,08316	1,27290	1,67702	0,77624
Base	100	0,7720074495	3,1219184216	45,8081474308	0,0012517460	0,0014421482	4,6551034494	45,6643015138
