State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3,70205	3,79698	3,13251	3,22743	2,27819	2,18326	2,56296	2,27819	2,37311	2,46804	1,70864	2,18326	2,46804	2,46804	2,46804	2,94266	3,03758	2,27819	2,08834	2,37311	2,08834
2	3,94101	3,64636	3,75685	3,57270	3,49903	3,57270	3,49903	3,46220	3,53586	3,42537	3,79369	3,97785	3,90418	3,86735	4,38300	4,05151	3,97785	3,90418	4,01468	4,01468	4,34617
3	1,42360	1,27633	1,17815	1,57087	2,01267	2,01267	2,45448	2,60175	2,69993	2,35630	2,11085	1,96358	2,15994	2,50357	1,81632	2,06176	2,06176	2,25812	2,11085	2,01267	1,86540
4	1,32379	1,38916	1,43819	1,22573	1,37282	1,40551	1,17670	1,20939	1,17670	1,37282	1,30745	1,29111	1,27476	1,27476	1,47088	1,56894	1,61797	1,58528	1,73237	1,92849	1,74871
5	3,21483	3,53631	3,10766	3,32199	3,48273	3,75063	3,96495	4,07211	4,44718	4,34001	3,85779	4,55434	4,28643	3,42915	3,64347	3,00050	2,94692	3,16125	2,73260	2,51828	2,67902
6	2,92754	2,92754	3,00481	3,03056	2,97047	2,85886	2,82452	2,81593	2,72150	2,72150	2,77301	2,63565	2,57555	2,58414	2,42960	2,44677	2,34375	2,23214	2,19780	2,16346	2,01751
7	0,67759	1,35519	1,35519	0,67759	1,69399	1,35519	1,69399	2,03278	1,01639	1,01639	1,01639	1,35519	0,67759	1,01639	0,33880	0,67759	0,67759	1,69399	1,35519	1,01639	1,01639
8	1,85698	2,11311	1,98504	1,92101	1,79294	1,79294	1,98504	2,30521	2,43328	1,40874	1,40874	1,66488	1,72891	2,04908	1,85698	1,66488	2,11311	2,49731	2,62538	2,43328	2,11311
9	0,61317	0,61402	0,61655	0,61655	0,61486	0,61655	0,61824	0,61064	0,61486	0,62415	0,63006	0,63091	0,63766	0,64611	0,65793	0,66131	0,66385	0,67229	0,67820	0,67820	0,70270
10	1,19008	1,15911	1,16354	1,18566	1,18123	1,19893	1,18566	1,19008	1,17681	1,19450	1,20778	1,16796	1,17238	1,14141	1,11045	1,11487	1,11929	1,11045	1,09717	1,09275	1,08390
