State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3,62524	4,36677	5,43786	5,93221	7,16809	8,89832	10,13420	11,20529	11,78204	16,64316	16,64316	10,79334	10,54616	11,94682	10,21659	11,45247	10,95812	8,48636	7,82723	6,42657	5,60265
2	5,40278	6,29791	7,32093	8,91938	11,25313	13,33112	16,20834	19,62903	22,47428	22,05869	22,37838	25,15969	25,06378	23,62517	22,28247	19,62903	16,84772	14,35413	11,86054	9,71861	8,40788
3	3,70694	3,91998	4,38867	5,28345	4,51650	4,21824	4,13302	3,15303	2,51390	1,91738	1,74695	1,36347	1,44869	1,36347	2,21564	2,85477	3,74954	4,04780	4,21824	4,21824	3,79215
4	3,06404	2,96475	3,19171	2,96475	2,87963	2,68104	2,32640	1,81573	1,20576	1,24831	1,26250	1,09227	0,95042	1,07809	1,16320	1,21994	1,64550	2,14199	2,09944	2,31222	2,43989
5	2,79038	2,51134	1,95327	1,67423	1,39519	1,44170	1,16266	1,16266	1,25567	0,88362	0,97663	0,88362	0,88362	0,79061	0,83711	1,11615	1,44170	2,04628	2,97641	4,69714	5,20871
6	0,83459	0,73027	0,64085	0,50672	0,47691	0,41729	0,38749	0,38749	0,35768	0,37258	0,35023	0,40239	0,41729	0,43965	0,45455	0,47691	0,52162	0,67065	0,89420	0,99108	1,16992
7	0,88220	0,88220	1,76440	2,05847	1,76440	1,47034	0,88220	0,58813	0,58813	0,88220	0,88220	0,88220	0,58813	0,58813	0,58813	0,58813	0,58813	0,58813	0,00000	0,00000	0,58813
8	1,66739	2,27876	2,38992	1,83412	2,05644	2,16760	1,44507	1,27833	1,66739	1,61181	1,83412	1,88970	1,22275	1,16717	1,00043	1,33391	1,44507	1,66739	1,83412	1,72296	1,66739
9	0,61725	0,59966	0,56447	0,53881	0,50729	0,47284	0,43838	0,40833	0,39366	0,37167	0,36214	0,35921	0,36434	0,37240	0,39073	0,41272	0,42958	0,44645	0,47724	0,48823	0,50363
10	1,44384	1,43616	1,41696	1,44384	1,39008	1,34400	1,32096	1,25952	1,17120	1,17504	1,18656	1,19808	1,26720	1,30560	1,35168	1,36704	1,38240	1,40544	1,37472	1,39776	1,37856
