State (Emission order)	Genome %	CpGIsland.hg18.bed.gz	RefSeqExon.hg18.bed.gz	RefSeqGene.hg18.bed.gz	RefSeqTES.hg18.bed.gz	RefSeqTSS.hg18.bed.gz	RefSeqTSS2kb.hg18.bed.gz	laminB1lads.hg18.bed.gz
1	0,62595	22,38559	3,54475	1,12259	1,70864	16,64316	8,65176	0,47982
2	1,61321	25,25363	5,04639	1,45672	3,79369	22,37838	13,33252	0,15518
3	1,21039	0,49842	1,63323	1,25732	2,11085	1,74695	2,95374	0,26345
4	3,63564	0,48517	0,99272	1,14482	1,30745	1,26250	1,97989	0,34437
5	1,10894	0,42291	3,68561	1,87548	3,85779	0,97663	1,62610	0,18947
6	6,92097	0,35157	3,31021	2,03155	2,77301	0,35023	0,57178	0,18769
7	0,17538	0,00000	0,94818	0,36930	1,01639	0,88220	0,76407	1,08845
8	0,92791	2,42598	1,83334	1,04067	1,40874	1,83412	1,75563	0,57555
9	70,35110	0,30396	0,56769	0,84442	0,63006	0,36214	0,50926	1,25607
10	13,43050	1,21694	1,13563	1,09353	1,20778	1,18656	1,41112	0,54195
Base	100	0,7720074495	3,1219184216	45,8081474308	0,0012517460	0,0014421482	4,6551034494	45,6643015138
