State (Emission order)	H3K36me3	H4K20me1	WCE	H3K27me3	CTCF	H3K4me3	H3K9ac	H3K27ac	H3K4me2	H3K4me1
1	0.05231434417105151	0.05957632807463551	0.003338487652038613	0.10583709252915283	0.15638869652513016	0.5822786736402751	0.19776185469987195	0.07080139455365464	0.8061145893551505	0.49345657041715385
2	0.11913925784506059	0.1003251818569368	0.012727639578428885	0.008892594101036412	0.16690582607005902	0.9871680695475945	0.9784673158079018	0.9145868965445642	0.9676408158366296	0.5454795222033394
3	0.13195606844507551	0.056458893169342564	0.005552228341314979	0.004692894841086204	0.05234386946483587	0.37209836318487866	0.3943711713237966	0.7256202742945399	0.7041179113178122	0.9611950938003002
4	0.015170532687556857	0.020498284175718987	0.0026715875870847953	0.009841481777379245	0.011588576120033544	0.012777448564532003	0.02473301517751517	0.040972507629367313	0.07737703324964669	0.5993866186895005
5	0.5256648244418861	0.24240705288346479	0.008190567419515321	0.004252754886578922	0.07207045152240575	0.04594169592904441	0.0410484624803141	0.10793101957950432	0.08832600443361746	0.49986812761869065
6	0.34762035906759636	0.018393520244300663	8.589656795300253E-4	0.0010054518568261696	0.0046531929945120695	0.0017765699959238104	0.0015275424236124034	0.0029886626552991943	5.02561163503678E-4	0.005618966634482523
7	0.7418738368760873	0.6550765131994687	0.5934531160015074	0.5976346048796785	0.8290909120320666	0.7456129442385314	0.5427542074239652	0.4014158980441287	0.3288715432230911	0.4157948931945269
8	0.014269337049754827	0.07803109762457226	0.005922529044015853	0.03786816862649098	0.9470334824650996	0.006597858869406998	0.0035631047546985976	0.004748421215774912	0.033771491690030006	0.09316760463512286
9	0.0011787893907273972	0.0014509368989702538	3.3356872849957833E-4	0.004130219250062591	7.054409301847792E-4	7.812937281850272E-4	2.1756202663259994E-4	3.287721403122015E-4	2.772301254176899E-4	9.448839694615984E-4
10	2.247419065728806E-4	0.028653309371174624	5.417456308057855E-4	0.12863545418557054	0.0022778627125927984	0.0011506030852893542	3.048308821386498E-4	0.0012118559674913567	0.0013528502701356383	0.0054817638174613935
